,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,ABEV3.SA,ABEV3.SA,0927042D.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA
2,ALLL11.SA,AEDU3.SA,ABEV3.SA,AEDU3.SA,ALLL3.SA,ANIM3.SA,ALSC3.SA,ALSC3.SA,ALUP11.SA,AZUL4.SA,AZUL4.SA
3,AMIL3.SA,ALLL3.SA,AEDU3.SA,ALLL3.SA,ARTR3.SA,ARTR3.SA,ANIM3.SA,ALUP11.SA,ARZZ3.SA,B3SA3.SA,B3SA3.SA
4,B3SA3.SA,AMIL3.SA,ALLL3.SA,AMBV3.SA,B3SA3.SA,B3SA3.SA,B3SA3.SA,B3SA3.SA,AZUL4.SA,BBAS3.SA,BBAS3.SA
5,BBAS3.SA,B3SA3.SA,AMBV3.SA,ARTR3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA,B3SA3.SA,BBDC3.SA,BBDC3.SA
6,BBDC3.SA,BBAS3.SA,AMIL3.SA,B3SA3.SA,BBDC3.SA,BBDC3.SA,BBDC3.SA,BBDC3.SA,BBAS3.SA,BBDC4.SA,BBDC4.SA
7,BBDC4.SA,BBDC3.SA,B3SA3.SA,BBAS3.SA,BBDC4.SA,BBDC4.SA,BBDC4.SA,BBDC4.SA,BBDC3.SA,BBSE3.SA,BBSE3.SA
8,BBRK3.SA,BBDC4.SA,BBAS3.SA,BBDC3.SA,BBSE3.SA,BBSE3.SA,BBSE3.SA,BBSE3.SA,BBDC4.SA,BEEF3.SA,BEEF3.SA
9,BISA3.SA,BBRK3.SA,BBDC3.SA,BBDC4.SA,BEEF3.SA,BEEF3.SA,BEEF3.SA,BEEF3.SA,BBSE3.SA,BIDI11.SA,BIDI11.SA
10,BRAP4.SA,BISA3.SA,BBDC4.SA,BBRK3.SA,BISA3.SA,BRAP4.SA,BRAP4.SA,BPAC11.SA,BEEF3.SA,BPAC11.SA,BPAC11.SA
11,BRFS3.SA,BPAN4.SA,BBRK3.SA,BEEF3.SA,BRAP4.SA,BRFS3.SA,BRFS3.SA,BRAP4.SA,BRAP4.SA,BRAP4.SA,BPAN4.SA
12,BRKM5.SA,BRAP4.SA,BISA3.SA,BISA3.SA,BRFS3.SA,BRKM5.SA,BRKM5.SA,BRFS3.SA,BRDT3.SA,BRDT3.SA,BRAP4.SA
13,BRML3.SA,BRFS3.SA,BRAP4.SA,BRAP4.SA,BRKM5.SA,BRML3.SA,BRML3.SA,BRKM5.SA,BRFS3.SA,BRFS3.SA,BRDT3.SA
14,BRSR6.SA,BRKM5.SA,BRFS3.SA,BRFS3.SA,BRML3.SA,BRPR3.SA,BRPR3.SA,BRML3.SA,BRKM5.SA,BRKM5.SA,BRFS3.SA
15,BTOW3.SA,BRML3.SA,BRKM5.SA,BRKM5.SA,BRPR3.SA,BRSR6.SA,BRSR6.SA,BRPR3.SA,BRML3.SA,BRML3.SA,BRKM5.SA
16,CCRO3.SA,BRSR6.SA,BRML3.SA,BRML3.SA,BRSR6.SA,BTOW3.SA,BTOW3.SA,BRSR6.SA,BRSR6.SA,BRSR6.SA,BRML3.SA
17,CESP6.SA,BTOW3.SA,BRPR3.SA,BRPR3.SA,BTOW3.SA,CCRO3.SA,CCRO3.SA,BTOW3.SA,BTOW3.SA,BTOW3.SA,BRSR6.SA
18,CIEL3.SA,CCRO3.SA,BRSR6.SA,BRSR6.SA,CCRO3.SA,CESP6.SA,CESP6.SA,CCRO3.SA,CCRO3.SA,CCRO3.SA,BTOW3.SA
19,CMIG4.SA,CESP6.SA,BTOW3.SA,BTOW3.SA,CESP6.SA,CIEL3.SA,CIEL3.SA,CESP6.SA,CESP6.SA,CESP6.SA,CCRO3.SA
20,CNFB4.SA,CIEL3.SA,CCRO3.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,CMIG4.SA,CIEL3.SA,CIEL3.SA,CIEL3.SA,CESP6.SA
21,CPFE3.SA,CMIG4.SA,CESP6.SA,CESP6.SA,CMIG4.SA,COGN3.SA,COGN3.SA,CMIG4.SA,CMIG4.SA,CMIG3.SA,CIEL3.SA
22,CPLE6.SA,CNFB4.SA,CIEL3.SA,CIEL3.SA,COGN3.SA,CPFE3.SA,CPFE3.SA,COGN3.SA,COGN3.SA,CMIG4.SA,CMIG3.SA
23,CRUZ3.SA,CPFE3.SA,CMIG4.SA,CMIG4.SA,CPFE3.SA,CPLE6.SA,CPLE6.SA,CPFE3.SA,CPLE6.SA,COGN3.SA,CMIG4.SA
24,CSAN3.SA,CPLE6.SA,CPFE3.SA,COGN3.SA,CPLE6.SA,CRUZ3.SA,CSAN3.SA,CPLE6.SA,CRFB3.SA,CPFE3.SA,COGN3.SA
25,CSMG3.SA,CRUZ3.SA,CPLE6.SA,CPFE3.SA,CRUZ3.SA,CSAN3.SA,CSNA3.SA,CSAN3.SA,CSAN3.SA,CPLE6.SA,CPFE3.SA
26,CSNA3.SA,CSAN3.SA,CRUZ3.SA,CPLE6.SA,CSAN3.SA,CSMG3.SA,CTIP3.SA,CSMG3.SA,CSMG3.SA,CRFB3.SA,CPLE6.SA
27,CYRE3.SA,CSMG3.SA,CSAN3.SA,CRUZ3.SA,CSNA3.SA,CSNA3.SA,CVCB3.SA,CSNA3.SA,CSNA3.SA,CSAN3.SA,CRFB3.SA
28,DASA3.SA,CSNA3.SA,CSMG3.SA,CSAN3.SA,CTIP3.SA,CTIP3.SA,CYRE3.SA,CVCB3.SA,CVCB3.SA,CSMG3.SA,CSAN3.SA
29,DTEX3.SA,CTIP3.SA,CSNA3.SA,CSMG3.SA,CYRE3.SA,CYRE3.SA,DTEX3.SA,CYRE3.SA,CYRE3.SA,CSNA3.SA,CSMG3.SA
30,EGIE3.SA,CYRE3.SA,CTIP3.SA,CSNA3.SA,DTEX3.SA,DIRR3.SA,ECOR3.SA,DTEX3.SA,DTEX3.SA,CVCB3.SA,CSNA3.SA
31,ELET3.SA,DASA3.SA,CYRE3.SA,CTIP3.SA,ECOR3.SA,DTEX3.SA,EGIE3.SA,ECOR3.SA,ECOR3.SA,CYRE3.SA,CVCB3.SA
32,ELET6.SA,DTEX3.SA,DASA3.SA,CYRE3.SA,EGIE3.SA,ECOR3.SA,ELET3.SA,EGIE3.SA,EGIE3.SA,DTEX3.SA,CYRE3.SA
33,ELPL4.SA,ECOR3.SA,DTEX3.SA,DASA3.SA,ELET3.SA,EGIE3.SA,ELET6.SA,ELET3.SA,ELET3.SA,ECOR3.SA,DTEX3.SA
34,EMBR3.SA,EGIE3.SA,ECOR3.SA,DTEX3.SA,ELET6.SA,ELET3.SA,ELPL4.SA,ELET6.SA,ELET6.SA,EGIE3.SA,ECOR3.SA
35,ENBR3.SA,ELET3.SA,EGIE3.SA,ECOR3.SA,ELPL4.SA,ELET6.SA,EMBR3.SA,ELPL4.SA,EMBR3.SA,ELET3.SA,EGIE3.SA
36,ENEV3.SA,ELET6.SA,ELET3.SA,EGIE3.SA,EMBR3.SA,ELPL4.SA,ENAT3.SA,EMBR3.SA,ENAT3.SA,ELET6.SA,ELET3.SA
37,EVEN3.SA,ELPL4.SA,ELET6.SA,ELET3.SA,ENAT3.SA,EMBR3.SA,ENBR3.SA,ENBR3.SA,ENBR3.SA,EMBR3.SA,ELET6.SA
38,FFTL4.SA,EMBR3.SA,ELPL4.SA,ELET6.SA,ENBR3.SA,ENBR3.SA,EQTL3.SA,ENGI11.SA,ENGI11.SA,ENAT3.SA,EMBR3.SA
