,S&P,Nasdaq
0,AAPL,ATVI
1,MSFT,ADBE
2,AMZN,AMD
3,FB,ALXN
4,GOOGL,ALGN
5,GOOG,GOOGL
6,BRK.B,GOOG
7,JNJ,AMZN
8,JPM,AMGN
9,V,ADI
10,PG,ANSS
11,NVDA,AAPL
12,UNH,AMAT
13,HD,ASML
14,MA,ADSK
15,DIS,ADP
16,PYPL,BIDU
17,VZ,BIIB
18,ADBE,BMRN
19,CMCSA,BKNG
20,CRM,AVGO
21,NFLX,CDNS
22,BAC,CDW
23,PFE,CERN
24,WMT,CHTR
25,INTC,CHKP
26,T,CTAS
27,MRK,CSCO
28,PEP,CTXS
29,KO,CTSH
30,ABT,CMCSA
31,ABBV,CPRT
32,TMO,COST
33,CSCO,CSX
34,COST,DXCM
35,CVX,DOCU
36,NKE,DLTR
37,QCOM,EBAY
38,MCD,EA
39,XOM,EXC
40,AVGO,EXPE
41,ACN,FB
42,MDT,FAST
43,TXN,FISV
44,NEE,FOXA
45,HON,FOX
46,DHR,GILD
47,BMY,IDXX
48,UNP,ILMN
49,LIN,INCY
50,AMGN,INTC
51,UPS,INTU
52,PM,ISRG
53,LOW,JD
54,LLY,KDP
55,C,KLAC
56,SBUX,KHC
57,WFC,LRCX
58,BA,LBTYA
59,ORCL,LBTYK
60,IBM,LULU
61,RTX,MAR
62,AMD,MXIM
63,AMT,MELI
64,NOW,MCHP
65,MMM,MU
66,BLK,MSFT
67,CHTR,MRNA
68,CAT,MDLZ
69,INTU,MNST
70,FIS,NTES
71,TGT,NFLX
72,LMT,NVDA
73,CVS,NXPI
74,GE,ORLY
75,MS,PCAR
76,ISRG,PAYX
77,SPGI,PYPL
78,BKNG,PEP
79,MDLZ,PDD
80,DE,QCOM
81,GS,REGN
82,ANTM,ROST
83,AXP,SGEN
84,TMUS,SIRI
85,CI,SWKS
86,SYK,SPLK
87,ZTS,SBUX
88,TJX,SNPS
89,GILD,TMUS
90,AMAT,TTWO
91,ADP,TSLA
92,MO,TXN
93,PLD,TCOM
94,CL,ULTA
95,SCHW,VRSN
96,MU,VRSK
97,CCI,VRTX
98,FDX,WBA
99,CSX,WDAY
100,DUK,XEL
101,BDX,XLNX
102,CB,ZM
103,D,
104,LRCX,
105,FISV,
106,SO,
107,CME,
